No.	JK	UMUR	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	KELAS
1	1	19	3	1	3	3	1	3	1	1	1	1	1	3	3	3	3	3	2	1
2	0	22	1	2	2	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1
3	0	23	3	2	2	1	2	2	1	1	2	1	1	1	2	2	2	2	1	2
4	0	20	3	3	3	3	2	3	3	2	2	2	2	2	2	2	2	2	1	2
5	1	22	3	3	3	3	3	3	2	3	2	1	3	3	3	3	3	3	3	3
6	1	22	3	2	3	1	1	3	3	2	3	3	1	3	3	3	1	1	1	3
7	0	22	3	3	3	3	2	2	2	3	2	2	1	2	3	3	2	2	1	3
8	1	21	1	1	2	1	2	3	1	2	1	1	2	3	3	1	2	2	1	1
9	1	22	3	2	3	2	2	3	3	3	2	3	1	2	2	2	2	1	1	3
10	1	23	3	2	3	2	1	3	3	3	3	3	3	3	3	3	2	3	2	3
11	1	19	2	1	2	2	1	1	2	2	2	2	1	2	2	2	1	1	1	2
12	1	18	3	2	1	3	3	3	3	3	3	3	2	3	3	3	3	3	1	3
13	0	23	3	2	3	3	3	2	2	2	3	3	2	2	3	2	3	2	2	3
14	0	23	2	2	3	2	1	1	1	1	2	2	1	2	2	2	2	1	1	2
15	0	17	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2
16	0	23	3	3	3	3	1	2	2	2	3	3	1	2	3	2	2	3	2	3
17	0	22	3	3	2	3	1	2	2	1	2	2	2	3	3	2	1	2	2	2
18	1	22	2	1	1	2	3	2	3	3	3	3	3	3	2	2	3	3	3	3
19	1	23	2	1	2	2	1	2	1	3	3	2	2	2	2	2	3	2	1	2
20	0	23	1	2	1	1	1	1	1	2	1	1	1	1	2	3	1	1	1	1
21	1	19	2	3	3	1	3	3	1	3	3	3	3	3	2	2	1	3	2	3
22	1	19	1	1	2	2	2	3	2	2	2	2	2	1	1	2	2	2	1	2
23	1	21	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1
24	1	22	2	1	3	2	1	1	3	2	2	2	1	2	2	1	2	1	1	2
25	1	19	3	1	2	2	1	2	3	3	3	3	3	3	3	2	2	2	2	3
26	1	23	3	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2
